producturl,productname,price,rating,review
https://amazon.com/American-Tourister-AMT-SCH-02/dp/B07CJCGBVC/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1663955844&sprefix=ba%2Caps%2C283&sr=8-3,American Tourister 32 Ltrs Grey Casual Backpack (AMT FIZZ SCH BAG 02 - GREY)  ,799.0,"46,723","7,361 "
https://amazon.com/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1663955844&sprefix=ba%2Caps%2C283&sr=8-4,Half Moon 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Navy)  ,799.0,"12,933","1,241 "
https://amazon.com/Martucci-Casual-Travelling-Laptop-Backpack/dp/B088B4P6ZW/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1663955844&smid=A2Q8O9HJRACOUS&sprefix=ba%2Caps%2C283&sr=8-5,Martucci 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack(Black)  ,568.0,"5,368",840 
https://amazon.com/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1663955844&sprefix=ba%2Caps%2C283&sr=8-7,"TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port and anti -theft back pocket Laptop bag ,office bag college bags  ",699.0,965,137 
https://amazon.com/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ8FFBZ/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1663955844&smid=A3RXEJKPWRVCLY&sprefix=ba%2Caps%2C283&sr=8-8,Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty  ,899.0,"7,943",842 
https://amazon.com/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1663955844&sprefix=ba%2Caps%2C283&sr=8-9,Wesley Milestone 2.0 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Blue and Black)  ,799.0,"7,549",928 
https://amazon.com/Casual-Backpack-Charging-Laptop-Compartment/dp/B07J46KLFP/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1663955844&sprefix=ba%2Caps%2C283&sr=8-10,"Fur Jaden 15.6 Inch Laptop Backpack 25 LTR Bag for School, College and Office with USB Charging Port  ",449.0,"9,173","2,345 "
https://amazon.com/sspa/click?ie=UTF8&spc=MTo2NjkzNzExODc4MzA1NTg0OjE2NjM5NTU4NDQ6c3BfbXRmOjIwMDQ3MDk2NTE0Nzk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FWomens-Handcrafted-Kalamkari-Office-Laptop%2Fdp%2FB09T3MY92D%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1663955844%26sprefix%3Dba%252Caps%252C283%26sr%3D8-11-spons%26psc%3D1%26smid%3DA2O6LU1SDI9NBB,"Zouk Women's Handcrafted Blue Kalamkari Office and 15.6"" Laptop Bag  ",1699.0,9,0 
https://amazon.com/sspa/click?ie=UTF8&spc=MTo2NjkzNzExODc4MzA1NTg0OjE2NjM5NTU4NDQ6c3BfbXRmOjIwMDYyNzIxOTIxNzk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2Fuppercase-Backpack-2300EBP1-repellent-sustainable%2Fdp%2FB0B69M182Q%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1663955844%26sprefix%3Dba%252Caps%252C283%26sr%3D8-12-spons%26psc%3D1,"uppercase Medium 17L Vegan Leather Laptop Backpack 2300EBP1 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty (Green)  ",1400.0,23,9 
https://amazon.com/Fur-Jaden-Black-Waterproof-Backpack/dp/B078GLXMDY/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1663955844&sprefix=ba%2Caps%2C283&sr=8-13,Fur Jaden Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port and Water Resistant Fabric  ,739.0,"9,550","3,305 "
